,Classifier,FeatureExtractor,acc,avgprec,classifierfamily,log_loss,precisionscore,recallscore
392,SVC_1,VGG19,0.641771602258,0.69557260349,SVC,0.987092222664,0.641771602258,0.641771602258
499,SVC_0,VGG19,0.660008684325,0.617626889339,SVC,0.98754502735,0.660008684325,0.660008684325
428,SVC_1,VGG19,0.63873208858,0.709946399193,SVC,0.994603031383,0.63873208858,0.63873208858
607,SVC_0,VGG19,0.655666521928,0.616877433966,SVC,0.994864689557,0.655666521928,0.655666521928
211,SVC_0,VGG19,0.662179765523,0.601841349615,SVC,0.995727521062,0.662179765523,0.662179765523
679,SVC_0,VGG19,0.65262700825,0.609013482139,SVC,0.998598474413,0.65262700825,0.65262700825
787,SVC_0,VGG19,0.654363873209,0.603563154123,SVC,0.998935941574,0.654363873209,0.654363873209
463,SVC_0,VGG19,0.655666521928,0.596050367853,SVC,1.00116011685,0.655666521928,0.655666521928
391,SVC_0,VGG19,0.670864090317,0.609602037448,SVC,1.00381469495,0.670864090317,0.670864090317
427,SVC_0,VGG19,0.658271819366,0.627008156955,SVC,1.00489480329,0.658271819366,0.658271819366
67,SVC_0,VGG19,0.659140251845,0.608642936138,SVC,1.00605975677,0.659140251845,0.659140251845
137,LogisticRegression_0,VGG19,0.643942683456,0.546741893901,LogisticRegression,1.01718348286,0.643942683456,0.643942683456
245,LogisticRegression_0,VGG19,0.637429439861,0.571332817035,LogisticRegression,1.02148622268,0.637429439861,0.637429439861
533,LogisticRegression_0,VGG19,0.635258358663,0.55084260736,LogisticRegression,1.02858099512,0.635258358663,0.635258358663
857,LogisticRegression_0,VGG19,0.629179331307,0.565132285772,LogisticRegression,1.03442633193,0.629179331307,0.629179331307
569,LogisticRegression_0,VGG19,0.633087277464,0.559684076441,LogisticRegression,1.03496321974,0.633087277464,0.633087277464
173,LogisticRegression_0,VGG19,0.623534520191,0.565430249704,LogisticRegression,1.0370142616,0.623534520191,0.623534520191
893,LogisticRegression_0,VGG19,0.629613547547,0.553791454705,LogisticRegression,1.03744695132,0.629613547547,0.629613547547
641,LogisticRegression_0,VGG19,0.628745115067,0.541969590803,LogisticRegression,1.03989084137,0.628745115067,0.628745115067
749,LogisticRegression_0,VGG19,0.636561007382,0.554126659138,LogisticRegression,1.03998306887,0.636561007382,0.636561007382
821,LogisticRegression_0,VGG19,0.623968736431,0.554785818932,LogisticRegression,1.04351051421,0.623968736431,0.623968736431
7,RandomForestClassifier_0,VGG16,0.643508467217,0.691953426916,RandomForestClassifier,1.04384367939,0.643508467217,0.643508467217
101,LogisticRegression_0,VGG19,0.619192357794,0.546243830687,LogisticRegression,1.04400331347,0.619192357794,0.619192357794
497,LogisticRegression_0,VGG19,0.626139817629,0.556663239919,LogisticRegression,1.04415397728,0.626139817629,0.626139817629
281,LogisticRegression_0,VGG19,0.627008250109,0.522652630081,LogisticRegression,1.0473647692,0.627008250109,0.627008250109
353,LogisticRegression_0,VGG19,0.632218844985,0.548948313429,LogisticRegression,1.04903198752,0.632218844985,0.632218844985
713,LogisticRegression_0,VGG19,0.629613547547,0.559152633028,LogisticRegression,1.05208948019,0.629613547547,0.629613547547
317,LogisticRegression_0,VGG19,0.625705601389,0.546718837355,LogisticRegression,1.05364476706,0.625705601389,0.625705601389
129,SVC_1,ResNet50,0.586626139818,0.618139794868,SVC,1.05406024139,0.586626139818,0.586626139818
785,LogisticRegression_0,VGG19,0.620495006513,0.549096305104,LogisticRegression,1.05416419853,0.620495006513,0.620495006513
525,SVC_1,ResNet50,0.585757707338,0.622918546154,SVC,1.05723582786,0.585757707338,0.585757707338
237,SVC_1,ResNet50,0.576639166305,0.631794406089,SVC,1.05966921236,0.576639166305,0.576639166305
461,LogisticRegression_0,VGG19,0.623100303951,0.520289922369,LogisticRegression,1.06349093887,0.623100303951,0.623100303951
677,LogisticRegression_0,VGG19,0.617455492835,0.531277357775,LogisticRegression,1.06363779967,0.617455492835,0.617455492835
65,LogisticRegression_0,VGG19,0.618323925315,0.550080678582,LogisticRegression,1.06511303339,0.618323925315,0.618323925315
561,SVC_1,ResNet50,0.588363004776,0.606691868855,SVC,1.06559164547,0.588363004776,0.588363004776
885,SVC_1,ResNet50,0.574468085106,0.625191400075,SVC,1.06640171532,0.574468085106,0.574468085106
605,LogisticRegression_0,VGG19,0.616587060356,0.543263433134,LogisticRegression,1.06668026064,0.616587060356,0.616587060356
705,SVC_1,ResNet50,0.575770733825,0.614980706242,SVC,1.06675720861,0.575770733825,0.575770733825
849,SVC_1,ResNet50,0.571862787668,0.636778180931,SVC,1.0699437371,0.571862787668,0.571862787668
201,SVC_1,ResNet50,0.580981328702,0.62153245173,SVC,1.07018375236,0.580981328702,0.580981328702
209,LogisticRegression_0,VGG19,0.620495006513,0.530550638054,LogisticRegression,1.07140436856,0.620495006513,0.620495006513
669,SVC_1,ResNet50,0.572297003908,0.598540725973,SVC,1.07175446959,0.572297003908,0.572297003908
741,SVC_1,ResNet50,0.581849761181,0.642041655981,SVC,1.07237677705,0.581849761181,0.581849761181
93,SVC_1,ResNet50,0.571428571429,0.63260025427,SVC,1.07355663925,0.571428571429,0.571428571429
389,LogisticRegression_0,VGG19,0.630916196266,0.541884912571,LogisticRegression,1.07355719052,0.630916196266,0.630916196266
453,SVC_1,ResNet50,0.571428571429,0.614531100098,SVC,1.0735759167,0.571428571429,0.571428571429
633,SVC_1,ResNet50,0.573599652627,0.607481287653,SVC,1.07621117209,0.573599652627,0.573599652627
345,SVC_1,ResNet50,0.578376031264,0.607494285705,SVC,1.07861916377,0.578376031264,0.578376031264
